x_in,y_in,w_in,x_out,y_out,w_out
141.52,-282.83,785.98,-31.277,84.976,378.65
925.64,-1102.3,225.52,181.8,296.46,-307.43
939.01,-1103.7,202.72,236.03,305.96,-307.04
925.9,-1083.1,226.09,147.81,278.63,-262.67
910.75,-1102.2,223.96,154.66,272.04,-244.03
943.26,-1081.4,231.48,235.46,314.64,-338.72
907.85,-1083.1,214.62,239.74,314.37,-339.47
905.19,-1066.2,234.34,211.65,303.35,-318.8
908.8,-1055.7,187.94,297.68,315.13,-369.24
944.24,-1070.8,234.44,257.75,314.41,-346.07
910.32,-1072.1,189.78,228.68,310.32,-317.1
934.29,-1071.6,226.44,269.02,311.01,-348.38
926.85,-1088.4,190.29,246.26,305.43,-319.48
218.04,-442.74,-158.06,146.23,143.14,-152.93
185.62,-373.82,-150.25,103.71,119.77,-133.91
187.28,-380.12,-161.31,103.46,123.6,-137.06
185.77,-383.62,-164.92,92.37,124.81,-131.74
191.96,-388.99,-162.17,101.81,123.91,-136.14
179.19,-365.63,-158.74,112.43,125.62,-152
229.81,-455.91,165.5,40.075,131.53,-78.89
213.22,-421.07,160.62,43.234,115.12,-85.164
220.66,-434.23,161.54,68.67,116.64,-104.7
218.93,-431.89,163.39,75.544,125.21,-109.91
215.95,-426.55,165.87,74.253,119.32,-111.42
224.41,-440.03,165.89,68.513,122.61,-101.34
735.6,-1245,214.94,140.83,257.23,-240.03
750.71,-1263.1,232,80.674,235.34,-175.75
735.65,-1243.7,225.97,102.28,245.76,-203.97
760.44,-1264.7,220.76,69.059,245.29,-162.25
779.13,-1339.3,220.44,159.55,271.41,-224.2
827.34,-1340.1,213.51,94.916,255.13,-184.02
1464.2,-482.63,147.47,753.63,266.42,-618.47
1430,-469.05,151.79,778.51,254.89,-578.13
1456.1,-472.18,152.87,741.77,281.89,-616.04
1464,-486.99,156.89,740.09,252.93,-645.8
1498.4,-488.97,152.67,576.06,321.19,-579.06
1457.8,-468.76,156.29,761.42,285.56,-566.58
1271,-735.46,146.08,472.82,313.37,-505.29
1309.9,-735.65,154.74,449.62,322.03,-502.43
1306.7,-752.48,148.49,402.38,335.26,-445.95
1290,-757.86,151.79,430.2,334.84,-477.34
1296.5,-762.81,153.83,419.16,332.77,-492.61
1319.3,-768.17,145.11,440.72,330.86,-492.49
1192,-991.67,160.65,307.74,295.25,-383.71
1163.7,-996.22,154.67,305.77,304.26,-379.07
1176.8,-998.98,163.67,256.71,301.06,-346.07
1170.2,-983.48,132.95,277.35,330.21,-346.15
1156.1,-995.5,156.98,174.65,296.06,-269.04
1173.3,-983.34,154.83,261.23,306.96,-349.64
1174.8,-972.04,146.61,246.89,314.85,-335.41
1159,-978.18,159.56,305.66,310.51,-368.73
1149.9,-982.96,157.84,316.32,292.38,-357.33
1194.8,-1037.2,148.81,280.29,326.97,-372.62
1153.6,-991.08,169.8,191.9,301.44,-294.76
1180.5,-995.03,155.51,264.6,304.5,-362.23
1017.4,-1181.1,148.17,153.77,251.83,-239.71
1001.1,-1193.5,150.26,135.37,247.23,-224.86
1018.6,-1193.3,170.52,165.08,245.88,-256.08
1044.3,-1225.1,160.05,177.5,271.23,-258.65
982.31,-1178.5,177.33,89.221,229.96,-176.45
1009.6,-1194,165.23,158.92,259.3,-242.75
794.77,-1335.3,176.25,113.84,210.33,-183.77
737.53,-1271.4,174.34,82.678,189.28,-161.85
799.9,-1337.7,185.05,99.116,209.51,-185.64
753.24,-1300.7,142.05,108.38,214.72,-188.55
792.66,-1339.5,174.13,89.141,200.52,-161.16
800.79,-1352.6,163.79,60.976,179.63,-130.01
1245.1,-441.17,212.35,680.66,251.98,-386.2
1248.5,-434.62,224.29,628.46,258.74,-443.21
1217.3,-444.97,211.02,522.02,265.43,-546.54
1260.3,-446.61,227.49,537.09,274.45,-474.53
1235.7,-443.75,231.51,526.05,292.75,-552.99
1266.2,-439.66,215.53,682.9,246.26,-452.77
1138.4,-720.61,214.64,370.69,302.36,-441.36
1151.1,-715.83,219.95,357.89,315.91,-435.82
1128.1,-711.8,210.05,379.99,300.48,-429.67
1117.8,-721.94,201.52,354,301.66,-425.88
1130.3,-731.33,211.19,373.64,299.15,-433.55
1124.2,-716.89,209.52,324.22,300.64,-403.62
1041.9,-845.03,209.92,260.93,278.36,-335.49
1046.6,-848.01,210.42,241.29,265.09,-315.44
1030.6,-840.35,213.4,203.96,280.07,-296.08
1061.3,-854.69,225.01,295.9,286.85,-368.13
1057.8,-866.8,218.71,262.95,301.22,-344.35
1024.7,-839.34,208.52,265.32,290.45,-348.91
869.59,-1033.8,208.11,169.1,248.57,-256.3
868.86,-1028.5,215.37,172.37,253.86,-258.21
857.36,-1016.9,216.14,190.04,245.4,-254.12
855.74,-1017.5,215.09,151.78,248.69,-237.4
859.31,-1014.4,214.33,190.68,244.76,-264.46
873.54,-1031.7,216.78,101.58,223.63,-188.5
695.03,-1185.1,226.48,97.464,193.89,-160.62
702.81,-1191.8,218.31,93.015,201.99,-169.32
703.13,-1203.5,228.7,86.083,184.04,-154.05
708.9,-1199.4,222.37,111.55,202.06,-174.79
689.78,-1200.7,216.91,92.53,197.26,-162.81
697.64,-1165.8,211.07,85.593,196.05,-168.31
401.8,-257.48,1668.2,186.27,123.35,1082.9
404.16,-257.92,1661.7,211.03,111.98,1111.7
402.75,-260.07,1252.9,186.86,128.26,1040.7
379,-245.18,823.32,128.35,125.54,927.79
407.91,-259.29,1127.5,175.13,124.55,687.03
408.37,-260.37,1688.8,217,126.48,1157.2
368.31,-310.03,1111.6,147.79,130.35,727.54
381.04,-315.18,1122.8,121.38,135.14,660.05
379.14,-312.45,1120,181.64,126.34,766.19
378.16,-307.64,1114.3,121.78,127.92,678.65
384.23,-314.9,1696.2,118.93,142.94,1024.6
384.55,-308.28,1120.7,80.541,142.6,636.36
334.08,-362.23,1126.6,87.7,134.03,672.55
342.37,-357.14,1128.3,103.93,132.02,690.04
335.23,-350.42,1126.6,43.979,120.55,619.24
337.01,-356.81,1122,113.99,118.82,662.63
337.56,-362.96,1118.7,50.079,118.9,596.12
335.19,-357.72,1129.5,110.96,129.37,694.48
280.58,-408.48,1124.2,11.049,125.19,594.18
273.8,-409.73,1122.5,51.684,119.07,610.49
14.072,-123.04,592.46,-64.652,57.732,382.62
259.88,-396.46,1126.7,14.915,111.97,578.85
278.11,-404.86,1119.7,50.29,119.21,606.38
18.128,-120,574.88,-49.074,45.848,407.45
278.71,-410.23,1672.2,-2.541,119.34,859.99
267.91,-413.25,1122,-27.407,107.06,479.29
1.1044,-119.21,572.1,-68.818,51.859,389.83
281.74,-407,1117.3,52.167,132.42,677.15
277.05,-410.53,1686.2,4.8169,114.35,783.53
7.8178,-111.35,784.17,-78.766,48.61,474.27
283.69,-413.12,1655.1,18.348,111.57,885.04
279.02,-406.94,1115.8,31.049,118.39,612.22
18.265,-106.13,879.1,-48.693,49.051,593.2
277.26,-405.63,1117.6,39.731,126.64,659.67
273.69,-390.67,1694.9,5.2965,100.67,737.2
5.3618,-90.075,742.35,-45.886,38.056,4.6778
956.13,-411.22,460.17,627.74,197.33,-51.281
949.6,-402.23,460.9,536.28,244.25,-140.14
965.87,-405.03,442.86,563.42,242.52,-103.29
964,-411.86,442.46,594.48,214.32,-86.914
960.76,-415.36,453.17,517.95,212.72,-242.09
949.48,-413.09,452.42,535.58,217.72,-122.37
879.35,-567.68,454.7,396.02,250.45,-223.54
882.96,-551.63,448.65,329.74,233.41,-333.56
884.89,-555.21,449.05,394.53,226.36,-242.89
890.31,-571.8,458.5,301.95,259.9,-372.14
905.87,-558.94,458.13,424.63,232.7,-210.69
896.58,-565.14,452.7,322.09,251.62,-326.31
773.85,-702.57,465.32,161.24,243.89,-252.34
766.23,-713.13,447.48,238.45,224.86,-316.24
781.08,-700.79,463.94,215.9,235.54,-292.14
781.02,-711.04,440.99,261.44,225.62,-316.69
789.08,-698.54,466.97,197.19,228.43,-282.49
783.62,-707.42,469.41,202.92,239.26,-278.39
642.29,-852.96,453.49,198.12,218.59,-264.63
617.76,-838.07,444.33,154.53,210.69,-215.94
629.41,-832,447.13,160.96,213.29,-221.24
629.65,-844.24,433.15,122.96,190.18,-175.75
633.58,-841.11,440.23,136.54,208.88,-197.97
655.97,-864.37,415.39,171.1,205.4,-221.67
644.22,-833.86,444.56,135.71,217.97,-213.54
639.14,-835.51,435.15,142.67,215.28,-211.08
635.9,-843.55,450.87,90.153,200.72,-176.26
642.36,-854.79,455.68,147.49,199.15,-207.85
618.18,-835.81,456.21,122.16,211.37,-191.89
639.18,-861.84,424.69,105.03,202.94,-178.51
484.22,-933.88,463.12,54.742,170.15,-125.65
471.92,-929.03,482.38,31.452,162.26,-104.8
479.59,-961.53,459.08,68.802,182.53,-129.66
465.17,-930.76,470.12,28.025,163,-97.404
485.59,-942.23,457.71,57.429,167.94,-130.48
490.81,-954.17,471.13,56.905,181.16,-135.19
1462.9,-589.11,332.04,497.05,328.53,-559.49
1511.2,-602.81,317.22,542.91,325.18,-563.55
1526.1,-608.08,311.29,649.79,321.08,-491.11
1534.5,-614.93,347.36,494.31,334.43,-543.67
1532.9,-616.31,300.86,443.66,350.41,-501.81
1510.4,-609.08,311.81,502.06,336.08,-541.18
1416.5,-570.02,318.85,569.49,249.38,-489.09
1531.8,-596.65,308.46,615.46,288.65,-533.93
1577.7,-629.69,310.81,423.28,317.56,-457.44
1509.9,-602.18,327.76,541.45,328.87,-570.31
1524.2,-602.65,317.42,460.85,327.02,-514.25
1472,-574.26,340.68,462.13,348.78,-531.83
1422.7,-825.44,323.01,316.78,326.15,-397.79
1394.9,-819.38,328.55,326.6,343.82,-420.11
1414,-828.64,327.99,268.62,327,-368.31
1413.3,-825.99,297.72,333.69,317.66,-402.88
1427,-828.64,337.67,368.75,321.54,-431.73
1415.8,-823.69,332.53,263.44,317.99,-372.55
1431.3,-828.06,322.86,426.84,310.42,-451.64
1441.2,-830.13,331.04,338.07,311.17,-397.72
1421.5,-836.4,328.27,346.33,313.24,-417.75
1444.1,-837.6,316.1,321.95,325.15,-385.64
1405.9,-823.5,325.73,311.1,322.4,-402.11
1442.1,-818.83,334.03,380.89,319.85,-460.29
1263.5,-1037.5,329.68,222.48,297.11,-307.26
1241.2,-1047.7,312.51,347.47,253.5,-370.67
1250.7,-1048.7,327.15,225.56,269.28,-290.42
1268.2,-1045.8,323.94,190.7,282.41,-282.92
1253.1,-1044.3,319.53,182.08,271.66,-289.03
1252.5,-1052.1,332.09,288.69,272.44,-336.6
1272.2,-1048.7,345.2,110.37,254.42,-216
